Timestamp (ms),X: (m/s^2),Y: (m/s^2),Z: (m/s^2)
706133,4.024871,8.609683,-3.764045, 
706212,3.177782,8.817866,-3.295034, 
706291,2.981564,8.439787,-3.036600, 
706370,2.301978,9.442415,-2.366586, 
706449,0.217755,9.897068,-1.710929, 
706529,-0.184254,8.291427,-1.076809, 
706609,-1.323278,9.899461,-0.239291, 
706689,-1.227562,9.775029,0.748980, 
706769,-1.234741,9.064336,0.871019, 
706849,-1.517104,9.186374,1.452495, 
706928,-1.986114,9.105016,1.641535, 
707008,-1.844932,9.124159,1.677429, 
707087,-1.344814,9.442415,1.864075, 
707166,-0.804017,8.808294,1.859290, 
707246,0.210576,9.435237,1.598463, 
707326,1.423780,8.600112,1.919112, 
707405,1.612820,10.559903,1.423780, 
707484,1.450102,10.169859,1.359172, 
707563,1.083987,9.619491,2.069865, 
707643,1.280206,9.760673,1.234741, 
707722,1.325671,9.270126,1.478817, 
707801,0.598227,9.262947,1.782717, 
707881,0.435509,9.664956,2.407265, 
707960,0.533619,8.846581,2.653735, 
708040,0.193826,9.274912,2.759023, 
708119,-0.114860,9.255769,2.979171, 
708199,0.153146,9.102622,2.854739, 
708278,0.167504,9.183981,2.969599, 
708357,-0.004786,9.183981,2.713558, 
708436,-1.014593,9.023657,2.591519, 
708516,-1.026558,9.136123,2.603484, 
708595,-1.402244,9.341913,2.258905, 
708674,-1.909541,9.564454,2.223012, 
708754,-1.088773,8.734115,1.670250, 
708833,0.981092,4.924605,0.413973, 
708913,-2.084223,3.895654,1.143810, 
708992,-0.555155,37.171432,-1.093559, 
709072,0.124431,23.510323,-0.241684, 
709151,0.327828,-0.196218,-1.591284, 
709230,-0.983485,-5.326613,-0.351757, 
709309,-0.437902,4.034443,1.371136, 
709389,0.418759,-1.435745,-0.509689, 
709468,2.658521,7.200261,5.788445, 
709547,-0.509689,44.584663,1.935863, 
709627,-1.469246,7.439551,0.335007, 
709707,-1.031343,-8.554646,-1.447709, 
709786,1.854504,1.083987,2.459909, 
709865,-0.145967,1.983721,-2.194297, 
709945,0.504904,-3.476896,4.233055, 
710024,-1.150989,34.008011,8.731722, 
710103,-0.234505,2.100973,-1.002628, 
710182,-1.517104,-6.958577,-0.524047, 
710262,-0.806410,3.412287,0.141182, 
710341,0.674800,0.899733,0.098109, 
710420,2.536483,-0.495332,0.811196, 
710500,-8.990156,65.103851,2.335478, 
710580,0.662836,19.487843,3.503217, 
710659,-2.213440,-11.375885,-2.498196, 
710738,0.701122,-2.232583,0.220148, 
710817,0.550369,6.200025,0.311078, 
710897,0.406794,-6.367528,4.462774, 
710976,2.345050,35.226002,0.875804, 
711055,-2.366586,7.147616,1.045701, 
711135,-0.605406,-3.988978,-0.449867, 
711214,0.782481,-0.047858,1.488389, 
711293,0.301506,3.809510,0.354150, 
711373,0.567119,-3.531932,-0.033501, 
711453,-5.314649,78.367737,-5.257219, 
711532,0.909305,18.667076,1.765966, 
711611,-3.058136,-8.183745,-0.354150, 
711690,-0.559941,-3.500824,1.234741, 
711770,2.316335,7.233761,-2.048329, 
711849,-0.770516,-5.946377,1.430959, 
711928,9.542917,37.408333,7.169153, 
712007,1.457281,9.574025,2.306763, 
712087,-2.022007,-4.881533,-1.521890, 
712166,1.624785,0.674800,0.368508, 
712246,1.134238,3.591755,0.586262, 
712325,-0.629335,-3.304606,-0.201004, 
712405,3.295034,73.007629,2.292406, 
712484,1.318492,20.880516,2.670485, 
712563,-2.263691,-8.748472,-0.325435, 
712643,1.143810,-4.790602,-0.100502, 
712722,-0.342186,5.977484,0.849482, 
712801,0.009572,-3.318964,3.117959, 
712880,-1.562569,66.848282,-6.008592, 
712960,0.205790,9.652991,2.325907, 
713040,-0.021536,-3.184961,-0.380472, 
713119,-0.287149,-2.084223,1.710929, 
713198,1.787502,3.139495,2.172760, 
713278,-0.078966,-2.926527,-0.847089, 
713357,-4.316806,78.367737,-2.694415, 
713436,0.854268,19.274874,4.979642, 
713516,-1.500353,-9.186374,-0.526440, 
713595,0.557548,-5.604191,0.619763, 
713674,1.696572,3.402715,-0.349365, 
713753,-1.301742,-1.411816,7.937276, 
713833,-1.301742,37.030254,4.816924, 
713913,-0.136396,1.464460,-2.909776, 
713992,-1.141417,-2.921741,0.186647, 
714072,0.112467,1.069630,1.409423, 
714151,-0.868626,1.914326,1.617606, 
714230,-0.246470,5.216540,-1.493175, 
714309,-0.552762,46.360203,-7.875061, 
714389,0.973914,4.343128,0.248862, 
714468,-0.849482,-6.159346,-1.801860, 
714547,-1.179704,0.638906,0.708301, 
714626,1.256277,0.588655,1.033736, 
714706,-4.388594,4.790602,16.491922, 
714786,1.093559,27.547157,2.364193, 
714865,-1.148596,-7.382122,-4.924605, 
714945,-0.957163,-2.593912,0.512082, 
715024,0.918877,2.388122,1.995685, 
715103,-1.756395,-1.797074,-2.960027, 
715182,1.957399,11.931040,7.264869, 
715262,0.088538,35.173355,4.814531, 
715341,-1.024165,1.478817,3.560647, 
715420,-1.617606,-6.542211,-0.885376, 
715500,0.136396,1.828182,-0.184254, 
715580,1.086380,-0.490546,1.139024, 
715659,-6.128238,36.099411,5.790838, 
715738,0.823160,23.086777,3.101209, 
715818,-0.071787,-6.204811,-1.466853, 
715897,-0.358936,-4.304842,-0.033501, 
715976,0.043072,3.752080,2.122509, 
716056,-0.002393,-1.679821,-1.933470, 
716135,-0.856661,29.406448,15.130358, 
716214,4.496274,25.929552,6.719286, 
716293,-3.283070,-6.207203,1.079202, 
716373,-0.612584,-4.869568,1.026558, 
716453,2.292406,5.477366,0.093323, 
716532,-0.698729,-2.802095,2.988742, 
716611,3.706615,59.174225,-0.607799, 
716691,1.919112,8.729329,2.682450, 
716770,-0.150753,-3.996156,-0.600620, 
716849,0.598227,-1.241919,0.279970, 
716929,0.693943,4.335949,1.462067, 
717008,0.299114,-5.364900,2.553233, 
717087,2.337871,78.367737,-7.865489, 
717166,6.460852,18.537859,0.782481, 
717246,-7.262476,-8.470895,-1.371136, 
717326,1.904755,-4.024871,0.483367, 
717405,0.969128,6.128238,1.514711, 
717484,0.366115,-4.386200,7.228975, 
717564,-0.849482,36.326736,13.740078, 
717643,1.016986,0.418759,-1.787502, 
717722,-0.122038,-3.828653,-0.648478, 
717802,0.375687,1.239526,-0.459438, 
717881,-1.136631,3.034207,-0.177075, 
717960,0.229719,1.562569,2.376158, 
718040,-0.624549,43.869183,-12.825988, 
718120,1.495568,3.658756,-0.806410, 
718199,-0.358936,-6.980113,-1.569748, 
718278,-0.466617,1.694179,1.308921, 
718358,0.110074,1.277813,0.449867, 
718437,-7.116508,32.976665,2.546054, 
718516,3.510396,22.385654,4.733172, 
718595,-1.201240,-5.865018,-3.838225, 
718675,-1.229955,-4.498667,0.784874, 
718754,1.598463,3.201711,1.043308, 
718833,0.122038,-3.022243,-1.785109, 
718913,4.613527,30.679474,10.358899, 
718993,2.402480,26.482313,11.112665, 
719072,-2.335478,-8.190925,-2.359407, 
719151,-0.660443,-5.250041,0.985878, 
719231,2.397694,3.024636,-1.127060, 
719310,-1.395065,2.189511,4.907855, 
719389,4.225876,36.015659,-0.150753, 
719468,0.612584,1.466853,-0.174682, 
719548,-0.942806,-4.852818,-0.961949, 
719627,-0.576691,2.445552,0.153146, 
719707,-1.057665,-0.201004,0.686765, 
719786,1.325671,8.853760,6.515889, 
719866,1.284992,30.294216,11.447672, 
719945,-0.744194,0.055037,-0.811196, 
720024,-1.227562,-5.345757,-1.560176, 
720103,0.782481,4.352700,2.129688, 
720183,-0.591048,-3.199318,1.143810, 
720262,1.124667,71.839890,-3.089244, 
720341,1.710929,13.275854,6.561354, 
720421,0.000000,-4.551311,-1.122274, 
720500,-0.521654,-1.780324,-0.069394, 
720580,0.344579,3.476896,0.445081, 
720659,1.600855,-3.182568,-0.143574, 
720739,-8.480466,78.367737,3.086851, 
720818,2.893026,19.772600,2.833203, 
720897,-3.819081,-8.535503,-1.050487, 
720976,1.038522,-3.570219,-0.677193, 
721056,1.086380,4.448416,0.564726, 
721135,0.366115,-0.954770,5.297898, 
721214,2.491017,39.908920,6.434530, 
721294,-1.091166,-4.390986,-2.524518, 
721374,-0.370901,-3.364429,-1.311314, 
721453,0.650871,5.101680,-0.043072, 
721532,0.050251,-0.727444,0.547976, 
721612,1.342421,-1.222776,2.895419, 
721691,2.132081,38.315243,8.604897, 
721770,1.622392,7.276834,-2.299585, 
721850,-2.512553,-4.905462,-2.479053, 
721929,-0.028715,1.770752,1.062451, 
722008,1.892790,3.730544,-0.854268, 
722087,-0.492939,-1.646321,4.769066, 
722167,-1.359172,26.417706,8.226818, 
722247,1.488389,-6.329242,-2.313942, 
722326,-0.827946,-3.383572,0.239291, 
722405,0.040679,4.213911,0.751373, 
722485,0.619763,-1.177311,-1.744430, 
722564,-1.459674,24.280838,23.151386, 
722643,4.845639,32.574657,2.608270, 
722723,-2.694415,0.528833,1.134238, 
722802,0.119645,-7.592697,-2.117724, 
722881,1.000236,6.068415,0.638906, 
722960,0.148360,-0.141182,1.198847, 
723040,-6.188060,61.461845,2.321121, 
723120,5.259612,12.416800,6.872432, 
723199,-1.629570,-4.149302,-0.784874, 
723279,-1.488389,11.730036,0.165111, 
723358,2.881061,12.206224,3.876511, 
723437,-1.679821,9.076301,1.823396, 
723516,0.378079,8.023421,0.904519, 
723596,0.363722,12.467052,1.966970, 
723675,-0.064609,7.580733,1.746823, 
723754,0.619763,10.167466,1.935863, 
723833,0.222540,9.315591,2.311549, 
723913,0.545583,9.535739,1.251491, 
723993,0.210576,9.363449,1.773145, 
724072,0.332614,9.719993,2.026793, 
724152,0.327828,9.605133,1.928684, 
724231,0.466617,9.272519,2.170368, 
724310,0.435509,9.435237,2.189511, 
724389,0.536011,9.451987,2.110545, 
724469,0.512082,9.399343,2.328300, 
724548,0.885376,9.559668,2.156010, 
724627,0.480975,9.451987,2.491017, 
724707,0.035894,9.160052,2.849954, 
724787,0.067001,9.239018,3.058136, 
724866,0.483367,9.473523,2.479053, 
724945,0.545583,9.657777,2.486232, 
725025,0.557548,9.365842,2.093795, 
725104,0.179468,8.918368,1.782717, 
725183,-0.693943,8.600112,1.660678, 
725262,0.354150,10.713050,1.966970, 
725342,0.308685,7.800880,1.974149, 
725421,-0.631728,11.107880,1.519497, 
725500,-1.399851,8.755651,1.754002, 
725580,-0.662836,9.899461,1.378315, 
725660,-0.239291,9.377807,1.938256, 
725739,0.581477,10.564690,0.153146, 
725818,2.529304,8.198103,-0.069394, 
725898,0.646085,12.404836,0.500118, 
725977,1.462067,8.308177,1.373529, 
726056,2.507768,9.571632,1.040915, 
726135,1.821003,8.935119,1.050487, 
726215,1.605641,9.518989,1.660678, 
726294,0.993057,9.626669,1.895183, 
726374,1.162953,9.284483,1.433352, 
726454,1.103131,10.028678,2.057901, 
726533,0.966735,9.748708,1.636749, 
726612,-0.521654,8.092815,0.993057, 
726691,0.454653,10.981055,1.330457, 
726771,-0.337400,9.265340,1.316099, 
726850,-0.732230,8.906404,1.751609, 
726929,-1.663071,9.949712,1.129453, 
727008,-1.036129,8.408679,1.306528, 
727088,-0.729837,9.782208,0.801624, 
727167,-0.988271,9.456773,0.851875, 
727247,-0.538404,10.129180,0.861447, 
727327,0.679586,10.411543,0.605406, 
727406,2.089009,8.796330,0.069394, 
727485,2.866704,9.186374,0.201004, 
727564,2.816453,9.729565,-0.849482, 
727644,3.235212,9.253376,-0.179468, 
727723,3.730544,8.932726,-0.196218, 
727802,4.142124,8.870510,-0.504904, 
727882,4.027264,8.923154,-0.440295, 
727961,4.118195,8.822652,-0.641299, 
728041,3.926762,8.913583,-0.342186, 
728120,3.977013,8.844189,-0.765731, 
728200,3.893261,8.772401,-0.727444, 
728279,4.022479,8.693435,-0.698729, 
728358,4.077516,8.628826,-0.545583, 
728437,3.783188,8.825045,-0.435509, 
728517,4.194768,9.306020,-0.856661, 
728596,4.156481,8.588147,-0.531226, 
728675,3.847796,8.805902,-0.428331, 
728755,4.290484,8.813081,0.021536, 
728834,4.103837,8.674292,-0.095716, 
728914,4.087087,8.719757,-0.043072, 
728993,3.835832,8.963834,0.052644, 
729073,3.938727,8.846581,0.201004, 
729152,3.955477,8.880082,-0.031108, 
729231,3.811903,8.872903,0.100502, 
729310,3.807117,8.932726,0.040679, 
729390,3.857368,8.973405,-0.212969, 
729469,3.914798,9.081086,-0.069394, 
729548,3.967442,8.741293,0.212969, 
729628,3.917191,8.743686,0.105288, 
729708,3.955477,8.963834,-0.212969, 
729787,3.962656,8.789151,-0.358936, 
729866,3.847796,8.935119,-0.282363, 
729946,3.902833,8.942298,-0.236898, 
730025,3.886083,9.026050,-0.449867, 
730104,3.919584,8.846581,-0.540797, 
730183,3.709008,9.250982,-0.236898, 
730263,3.764045,8.791544,-0.358936, 
730342,3.728151,9.116980,0.019143, 
730421,3.620470,9.162445,-0.038287, 
